filename,base_name,success,sections_extracted,sections_cleaned,item_1_length,item_1a_length,item_7_length
0000320187_2017_10K.html,0000320187_2017_10K,True,3,3,7035,65175,109838
0000039911_2017_10K.html,0000039911_2017_10K,True,3,3,8160,32955,45852
0001089063_2017_10K.html,0001089063_2017_10K,True,3,3,17577,31017,38352
0000027419_2017_10K.html,0000027419_2017_10K,True,3,3,8463,27573,30906
0000094845_2017_10K.html,0000094845_2017_10K,True,3,3,2001,48079,69560
0001018724_2017_10K.html,0001018724_2017_10K,True,3,3,56457,44048,52914
0001018840_2017_10K.html,0001018840_2017_10K,True,3,3,51745,41692,10508
0000794367_2017_10K.html,0000794367_2017_10K,True,3,3,3852,28154,70635
0000104169_2017_10K.html,0000104169_2017_10K,True,3,3,18013,53293,25074
0000850209_2017_10K.html,0000850209_2017_10K,True,3,3,126868,36107,78262
