cik,year,path
850209,2017,data/raw/10k/0000850209_2017_10K.html
1018724,2017,data/raw/10k/0001018724_2017_10K.html
1089063,2017,data/raw/10k/0001089063_2017_10K.html
1018840,2017,data/raw/10k/0001018840_2017_10K.html
794367,2017,data/raw/10k/0000794367_2017_10K.html
104169,2017,data/raw/10k/0000104169_2017_10K.html
27419,2017,data/raw/10k/0000027419_2017_10K.html
320187,2017,data/raw/10k/0000320187_2017_10K.html
94845,2017,data/raw/10k/0000094845_2017_10K.html
39911,2017,data/raw/10k/0000039911_2017_10K.html
